,model,run,timed,implementation,initial_parameters,final_parameters,learning_time,learning_rounds,training_set_loglikelihood
0,Cluster,1,True,CLASSIC,"[0.0009024962283682653, 0.0007677511635561091, 0.0010074902792852729]","{'ws_fail': 0.0020176845310318835, 'switch_fail': 0.0002412119424349992, 'line_fail': 0.00021949610601819467}",212.660269,3,-5929.659685542364059
1,Cluster,1,True,SYMBOLIC,"[0.0009024962283682653, 0.0007677511635561091, 0.0010074902792852729]","{'ws_fail': 0.0020176845310318835, 'switch_fail': 0.0002412119424349992, 'line_fail': 0.00021949610601819467}",24.004094,3,-5929.6596855423649686
2,Cluster,1,True,SYMBOLIC_LOG_SEMIRING,"[0.0009024962283682653, 0.0007677511635561091, 0.0010074902792852729]","{'ws_fail': 0.0020176845310318796, 'switch_fail': 0.0002412119424349997, 'line_fail': 0.00021949610601819402}",24.064198,3,-5929.6596855423649686
3,Cluster,1,False,CLASSIC,"[0.0009024962283682653, 0.0007677511635561091, 0.0010074902792852729]","{'ws_fail': 0.0014341012863242472, 'switch_fail': 0.0001637748604706807, 'line_fail': 0.00011745884292096641}",118.903512,3,-1015.34029130883698144
4,Cluster,1,False,SYMBOLIC,"[0.0009024962283682653, 0.0007677511635561091, 0.0010074902792852729]","{'ws_fail': 0.0014341012863242472, 'switch_fail': 0.0001637748604706807, 'line_fail': 0.00011745884292096641}",21.82871,3,-1015.34029130883698144
5,Cluster,1,False,SYMBOLIC_LOG_SEMIRING,"[0.0009024962283682653, 0.0007677511635561091, 0.0010074902792852729]","{'ws_fail': 0.0014341012863242474, 'switch_fail': 0.00016377486047068073, 'line_fail': 0.00011745884292096644}",21.873549,3,-1015.34029130883686776
6,Cluster,2,True,CLASSIC,"[0.0018969257887243441, 0.0003976569037462094, 0.0013644090861586104]","{'ws_fail': 0.001896994874302233, 'switch_fail': 0.0002960914915620766, 'line_fail': 0.00015846894326078053}",215.646736,3,-6146.5767097012103477
7,Cluster,2,True,SYMBOLIC,"[0.0018969257887243441, 0.0003976569037462094, 0.0013644090861586104]","{'ws_fail': 0.0018969948743022334, 'switch_fail': 0.00029609149156207653, 'line_fail': 0.00015846894326078053}",24.185429,3,-6146.5767097012103477
8,Cluster,2,True,SYMBOLIC_LOG_SEMIRING,"[0.0018969257887243441, 0.0003976569037462094, 0.0013644090861586104]","{'ws_fail': 0.0018969948743022312, 'switch_fail': 0.00029609149156207605, 'line_fail': 0.0001584689432607813}",24.17024,3,-6146.5767097012103477
9,Cluster,2,False,CLASSIC,"[0.0018969257887243441, 0.0003976569037462094, 0.0013644090861586104]","{'ws_fail': 0.0019986187948811693, 'switch_fail': 0.0002241606306814021, 'line_fail': 0.00018111752266999673}",1383.727211,35,-1004.19167886764057585
10,Cluster,2,False,SYMBOLIC,"[0.0018969257887243441, 0.0003976569037462094, 0.0013644090861586104]","{'ws_fail': 0.0019986187948811693, 'switch_fail': 0.0002241606306814021, 'line_fail': 0.00018111752266999673}",254.61421,35,-1004.19167886764057585
11,Cluster,2,False,SYMBOLIC_LOG_SEMIRING,"[0.0018969257887243441, 0.0003976569037462094, 0.0013644090861586104]","{'ws_fail': 0.0019986187948811693, 'switch_fail': 0.000224160630681402, 'line_fail': 0.00018111752266999662}",256.219897,35,-1004.19167886764057585
12,Cluster,3,True,CLASSIC,"[0.00024312363376385214, 0.00039221965148135115, 0.0019925095312327314]","{'ws_fail': 0.00195407502369099, 'switch_fail': 0.00024139715173319715, 'line_fail': 0.00016094232371057735}",285.881879,4,-6043.6472961061090245
13,Cluster,3,True,SYMBOLIC,"[0.00024312363376385214, 0.00039221965148135115, 0.0019925095312327314]","{'ws_fail': 0.00195407502369099, 'switch_fail': 0.00024139715173319715, 'line_fail': 0.00016094232371057735}",32.227763,4,-6043.647296106108115
14,Cluster,3,True,SYMBOLIC_LOG_SEMIRING,"[0.00024312363376385214, 0.00039221965148135115, 0.0019925095312327314]","{'ws_fail': 0.001954075023690992, 'switch_fail': 0.000241397151733197, 'line_fail': 0.00016094232371057776}",32.325564,4,-6043.6472961061090245
15,Cluster,3,False,CLASSIC,"[0.00024312363376385214, 0.00039221965148135115, 0.0019925095312327314]","{'ws_fail': 0.0012148693011277605, 'switch_fail': 0.00017203318803342313, 'line_fail': 8.998082813173673e-05}",3680.384453,93,-1048.8167370275227768
16,Cluster,3,False,SYMBOLIC,"[0.00024312363376385214, 0.00039221965148135115, 0.0019925095312327314]","{'ws_fail': 0.0012148693011277605, 'switch_fail': 0.00017203318803342313, 'line_fail': 8.998082813173673e-05}",680.01319,93,-1048.8167370275225494
17,Cluster,3,False,SYMBOLIC_LOG_SEMIRING,"[0.00024312363376385214, 0.00039221965148135115, 0.0019925095312327314]","{'ws_fail': 0.0012148693011277618, 'switch_fail': 0.000172033188033423, 'line_fail': 8.998082813173672e-05}",683.501591,93,-1048.816737027522322
18,Cluster,4,True,CLASSIC,"[0.0017946914674368871, 0.0010212863757603284, 0.0014353093878739314]","{'ws_fail': 0.0018561780441948808, 'switch_fail': 0.00025570056930834627, 'line_fail': 0.00017881559024968032}",214.931886,3,-6069.9409629085748747
19,Cluster,4,True,SYMBOLIC,"[0.0017946914674368871, 0.0010212863757603284, 0.0014353093878739314]","{'ws_fail': 0.0018561780441948815, 'switch_fail': 0.00025570056930834627, 'line_fail': 0.0001788155902496803}",24.117003,3,-6069.9409629085748747
20,Cluster,4,True,SYMBOLIC_LOG_SEMIRING,"[0.0017946914674368871, 0.0010212863757603284, 0.0014353093878739314]","{'ws_fail': 0.0018561780441948817, 'switch_fail': 0.0002557005693083461, 'line_fail': 0.0001788155902496798}",24.272747,3,-6069.9409629085766937
21,Cluster,4,False,CLASSIC,"[0.0017946914674368871, 0.0010212863757603284, 0.0014353093878739314]","{'ws_fail': 0.0024304301971978556, 'switch_fail': 0.0003010689368916526, 'line_fail': 0.00024311953840600915}",119.108465,3,-1036.6853520406134521
22,Cluster,4,False,SYMBOLIC,"[0.0017946914674368871, 0.0010212863757603284, 0.0014353093878739314]","{'ws_fail': 0.002430430197197855, 'switch_fail': 0.0003010689368916525, 'line_fail': 0.00024311953840600918}",21.997341,3,-1036.6853520406134521
23,Cluster,4,False,SYMBOLIC_LOG_SEMIRING,"[0.0017946914674368871, 0.0010212863757603284, 0.0014353093878739314]","{'ws_fail': 0.0024304301971978582, 'switch_fail': 0.00030106893689165306, 'line_fail': 0.0002431195384060093}",21.978763,3,-1036.6853520406134521
24,Cluster,5,True,CLASSIC,"[0.0003883887385912815, 0.0014563428737307059, 0.0008924287886638418]","{'ws_fail': 0.0019418309432633915, 'switch_fail': 0.00021799564090367588, 'line_fail': 0.00018452358571267944}",214.708873,3,-6044.4530184138966433
25,Cluster,5,True,SYMBOLIC,"[0.0003883887385912815, 0.0014563428737307059, 0.0008924287886638418]","{'ws_fail': 0.0019418309432633917, 'switch_fail': 0.00021799564090367593, 'line_fail': 0.00018452358571267942}",24.087479,3,-6044.453018413897553
26,Cluster,5,True,SYMBOLIC_LOG_SEMIRING,"[0.0003883887385912815, 0.0014563428737307059, 0.0008924287886638418]","{'ws_fail': 0.001941830943263389, 'switch_fail': 0.00021799564090367636, 'line_fail': 0.00018452358571267947}",24.156407,3,-6044.4530184138984623
27,Cluster,5,False,CLASSIC,"[0.0003883887385912815, 0.0014563428737307059, 0.0008924287886638418]","{'ws_fail': 0.0012413781081404176, 'switch_fail': 0.00013775344884145202, 'line_fail': 0.00016217600035424014}",118.845764,3,-1051.2438606944042476
28,Cluster,5,False,SYMBOLIC,"[0.0003883887385912815, 0.0014563428737307059, 0.0008924287886638418]","{'ws_fail': 0.0012413781081404179, 'switch_fail': 0.00013775344884145213, 'line_fail': 0.0001621760003542403}",21.899806,3,-1051.2438606944042476
29,Cluster,5,False,SYMBOLIC_LOG_SEMIRING,"[0.0003883887385912815, 0.0014563428737307059, 0.0008924287886638418]","{'ws_fail': 0.0012413781081404194, 'switch_fail': 0.0001377534488414525, 'line_fail': 0.0001621760003542409}",22.214285,3,-1051.2438606944042476
30,Cluster,6,True,CLASSIC,"[0.0016943253432263558, 0.0008259997337302759, 0.0008931736420070156]","{'ws_fail': 0.0020177714329086874, 'switch_fail': 0.0003063066760054916, 'line_fail': 0.00019533758413081334}",215.930047,3,-6018.8334045811834585
31,Cluster,6,True,SYMBOLIC,"[0.0016943253432263558, 0.0008259997337302759, 0.0008931736420070156]","{'ws_fail': 0.0020177714329086874, 'switch_fail': 0.0003063066760054915, 'line_fail': 0.00019533758413081334}",24.362374,3,-6018.8334045811834585
32,Cluster,6,True,SYMBOLIC_LOG_SEMIRING,"[0.0016943253432263558, 0.0008259997337302759, 0.0008931736420070156]","{'ws_fail': 0.002017771432908687, 'switch_fail': 0.0003063066760054915, 'line_fail': 0.00019533758413081361}",24.311705,3,-6018.833404581184368
33,Cluster,6,False,CLASSIC,"[0.0016943253432263558, 0.0008259997337302759, 0.0008931736420070156]","{'ws_fail': 0.0021374900206661616, 'switch_fail': 0.0002943258746968537, 'line_fail': 0.00020562987869485245}",118.900688,3,-1061.5564499308848099
34,Cluster,6,False,SYMBOLIC,"[0.0016943253432263558, 0.0008259997337302759, 0.0008931736420070156]","{'ws_fail': 0.002137490020666161, 'switch_fail': 0.00029432587469685353, 'line_fail': 0.0002056298786948524}",21.863205,3,-1061.5564499308848099
35,Cluster,6,False,SYMBOLIC_LOG_SEMIRING,"[0.0016943253432263558, 0.0008259997337302759, 0.0008931736420070156]","{'ws_fail': 0.002137490020666153, 'switch_fail': 0.0002943258746968532, 'line_fail': 0.00020562987869485245}",21.935413,3,-1061.5564499308848099
