,model,run,timed,implementation,initial_parameters,final_parameters,learning_time,learning_rounds,training_set_loglikelihood
0,Philosophers,1,True,CLASSIC,"[0.001178719096265754, 0.0015361750976416418, 0.0015540691829651547]","{'alpha': 0.3395161456700868, 'betax': 0.09271079889618382, 'zetax': 0.23422502391846317}",3717.395598,3,-3246.6896882810337956
1,Philosophers,1,True,SYMBOLIC,"[0.001178719096265754, 0.0015361750976416418, 0.0015540691829651547]","{'alpha': 0.33951614567008687, 'betax': 0.09271079889618382, 'zetax': 0.23422502391846323}",266.022107,3,-3246.689688281033341
2,Philosophers,1,True,SYMBOLIC_LOG_SEMIRING,"[0.001178719096265754, 0.0015361750976416418, 0.0015540691829651547]","{'alpha': 0.33951614567008764, 'betax': 0.09271079889618407, 'zetax': 0.23422502391846314}",266.881838,3,-3246.689688281033341
3,Philosophers,1,False,CLASSIC,"[0.001178719096265754, 0.0015361750976416418, 0.0015540691829651547]","{'alpha': 0.4406268958762386, 'betax': 0.11994761116914723, 'zetax': 0.21993125673238076}",4000.884415,14,-1943.1842851223761954
4,Philosophers,1,False,SYMBOLIC,"[0.001178719096265754, 0.0015361750976416418, 0.0015540691829651547]","{'alpha': 0.4406268958762385, 'betax': 0.11994761116914726, 'zetax': 0.21993125673238076}",1189.388962,14,-1943.1842851223761954
5,Philosophers,1,False,SYMBOLIC_LOG_SEMIRING,"[0.001178719096265754, 0.0015361750976416418, 0.0015540691829651547]","{'alpha': 0.4406268958762383, 'betax': 0.11994761116914726, 'zetax': 0.2199312567323808}",1190.231807,14,-1943.1842851223759681
6,Philosophers,2,True,CLASSIC,"[0.0013971423036362226, 0.0012802343575960577, 0.0004643206972838456]","{'alpha': 0.3520862596442607, 'betax': 0.09865741451369285, 'zetax': 0.23878486707535193}",3740.104449,3,-3100.6477580136711367
7,Philosophers,2,True,SYMBOLIC,"[0.0013971423036362226, 0.0012802343575960577, 0.0004643206972838456]","{'alpha': 0.3520862596442606, 'betax': 0.09865741451369282, 'zetax': 0.23878486707535188}",268.371455,3,-3100.647758013670682
8,Philosophers,2,True,SYMBOLIC_LOG_SEMIRING,"[0.0013971423036362226, 0.0012802343575960577, 0.0004643206972838456]","{'alpha': 0.35208625964426093, 'betax': 0.09865741451369286, 'zetax': 0.2387848670753522}",268.937012,3,-3100.647758013670682
9,Philosophers,2,False,CLASSIC,"[0.0013971423036362226, 0.0012802343575960577, 0.0004643206972838456]","{'alpha': 0.48728820955316715, 'betax': 0.12357098563070756, 'zetax': 0.23585888261212468}",3861.902047,14,-1933.8362380589080658
10,Philosophers,2,False,SYMBOLIC,"[0.0013971423036362226, 0.0012802343575960577, 0.0004643206972838456]","{'alpha': 0.4872882095531669, 'betax': 0.12357098563070762, 'zetax': 0.23585888261212468}",1187.989906,14,-1933.8362380589080658
11,Philosophers,2,False,SYMBOLIC_LOG_SEMIRING,"[0.0013971423036362226, 0.0012802343575960577, 0.0004643206972838456]","{'alpha': 0.4872882095531674, 'betax': 0.12357098563070772, 'zetax': 0.23585888261212457}",1189.537807,14,-1933.8362380589080658
12,Philosophers,3,True,CLASSIC,"[0.0018375377358404636, 0.0017047304714364537, 0.0014018752755625107]","{'alpha': 0.33881277617280664, 'betax': 0.10069661419517954, 'zetax': 0.22560095153094603}",3746.5614,3,-3193.228611461563105
13,Philosophers,3,True,SYMBOLIC,"[0.0018375377358404636, 0.0017047304714364537, 0.0014018752755625107]","{'alpha': 0.33881277617280653, 'betax': 0.10069661419517953, 'zetax': 0.22560095153094603}",268.690713,3,-3193.228611461563105
14,Philosophers,3,True,SYMBOLIC_LOG_SEMIRING,"[0.0018375377358404636, 0.0017047304714364537, 0.0014018752755625107]","{'alpha': 0.33881277617280714, 'betax': 0.10069661419517979, 'zetax': 0.2256009515309461}",269.503529,3,-3193.228611461563105
