,model,run,timed,implementation,initial_parameters,final_parameters,learning_time,learning_rounds,training_set_loglikelihood
0,Polling,1,True,CLASSIC,"[0.000810969818534178, 0.001829751079750035]","{'mu': 1.2814001156530015, 'gammax': 207.95221973938135}",211.574833,4,12088.823143723324392
1,Polling,1,True,SYMBOLIC,"[0.000810969818534178, 0.001829751079750035]","{'mu': 1.2814001156530015, 'gammax': 207.95221973938135}",26.159812,4,12088.823143723324392
2,Polling,1,True,SYMBOLIC_LOG_SEMIRING,"[0.000810969818534178, 0.001829751079750035]","{'mu': 1.2814001156530013, 'gammax': 207.95221973938177}",26.349978,4,12088.823143723320754
3,Polling,1,False,CLASSIC,"[0.000810969818534178, 0.001829751079750035]","{'mu': 1.162197621500046e-05, 'gammax': 0.002680764938539404}",64.558988,12,-121.51028813287516073
4,Polling,1,False,SYMBOLIC,"[0.000810969818534178, 0.001829751079750035]","{'mu': 1.162197621500045e-05, 'gammax': 0.002680764938539404}",27.996063,12,-121.51028813287516073
5,Polling,1,False,SYMBOLIC_LOG_SEMIRING,"[0.000810969818534178, 0.001829751079750035]","{'mu': 1.1621976215000419e-05, 'gammax': 0.0026807649385394016}",27.890433,12,-121.51028813287518915
6,Polling,2,True,CLASSIC,"[0.0005496369129919811, 0.0008157204075256759]","{'mu': 0.9220011039849209, 'gammax': 203.96168333193157}",215.351213,4,12226.036566957211107
7,Polling,2,True,SYMBOLIC,"[0.0005496369129919811, 0.0008157204075256759]","{'mu': 0.9220011039849209, 'gammax': 203.9616833319316}",26.378597,4,12226.036566957211107
8,Polling,2,True,SYMBOLIC_LOG_SEMIRING,"[0.0005496369129919811, 0.0008157204075256759]","{'mu': 0.9220011039849229, 'gammax': 203.9616833319321}",26.589318,4,12226.03656695720565
9,Polling,2,False,CLASSIC,"[0.0005496369129919811, 0.0008157204075256759]","{'mu': 4.427392337854489e-06, 'gammax': 0.0013761112502329307}",53.686882,10,-90.238158058742456546
10,Polling,2,False,SYMBOLIC,"[0.0005496369129919811, 0.0008157204075256759]","{'mu': 4.427392337854488e-06, 'gammax': 0.0013761112502329307}",23.440733,10,-90.238158058742456546
11,Polling,2,False,SYMBOLIC_LOG_SEMIRING,"[0.0005496369129919811, 0.0008157204075256759]","{'mu': 4.427392337854491e-06, 'gammax': 0.0013761112502329318}",23.137363,10,-90.238158058742428125
12,Polling,3,True,CLASSIC,"[0.00042991766046960927, 0.0018595004694759339]","{'mu': 0.7376291539382923, 'gammax': 192.06452668496615}",215.229232,4,11873.5025776130387385
13,Polling,3,True,SYMBOLIC,"[0.00042991766046960927, 0.0018595004694759339]","{'mu': 0.7376291539382924, 'gammax': 192.06452668496615}",26.478446,4,11873.5025776130387385
14,Polling,3,True,SYMBOLIC_LOG_SEMIRING,"[0.00042991766046960927, 0.0018595004694759339]","{'mu': 0.7376291539382943, 'gammax': 192.0645266849666}",26.634912,4,11873.5025776130369195
15,Polling,3,False,CLASSIC,"[0.00042991766046960927, 0.0018595004694759339]","{'mu': 1.0920427591001386e-05, 'gammax': 0.0023278914396536996}",65.230428,12,-131.12316311459537133
16,Polling,3,False,SYMBOLIC,"[0.00042991766046960927, 0.0018595004694759339]","{'mu': 1.0920427591001381e-05, 'gammax': 0.002327891439653697}",28.433943,12,-131.12316311459537133
17,Polling,3,False,SYMBOLIC_LOG_SEMIRING,"[0.00042991766046960927, 0.0018595004694759339]","{'mu': 1.0920427591001386e-05, 'gammax': 0.0023278914396536988}",28.402501,12,-131.1231631145953429
18,Polling,4,True,CLASSIC,"[0.0017281572577812023, 0.0009857330175329921]","{'mu': 0.7551889871453343, 'gammax': 196.93480364785853}",215.899849,4,12117.141673321893904
19,Polling,4,True,SYMBOLIC,"[0.0017281572577812023, 0.0009857330175329921]","{'mu': 0.7551889871453343, 'gammax': 196.93480364785856}",26.419836,4,12117.141673321893904
20,Polling,4,True,SYMBOLIC_LOG_SEMIRING,"[0.0017281572577812023, 0.0009857330175329921]","{'mu': 0.7551889871453382, 'gammax': 196.9348036478582}",26.592289,4,12117.141673321895723
