,model,run,timed,implementation,initial_parameters,final_parameters,learning_time,learning_rounds,training_set_loglikelihood
0,Tandem,1,True,CLASSIC,"[1.4879977676144132, 3.088973656283924, 3.0503299825732415, 4.684002414279529]","{'mu1a': 0.3181621565795225, 'mu1b': 1.7675735822522372, 'mu2': 1.9473377928463032, 'kappa': 4.128625130284116}",1393.943079,3,7158.0719253376137203
1,Tandem,1,True,SYMBOLIC,"[1.4879977676144132, 3.088973656283924, 3.0503299825732415, 4.684002414279529]","{'mu1a': 0.3181621565795225, 'mu1b': 1.7675735822522372, 'mu2': 1.947337792846303, 'kappa': 4.128625130284116}",125.123237,3,7158.071925337612811
2,Tandem,1,True,SYMBOLIC_LOG_SEMIRING,"[1.4879977676144132, 3.088973656283924, 3.0503299825732415, 4.684002414279529]","{'mu1a': 0.31816215657952207, 'mu1b': 1.7675735822522338, 'mu2': 1.9473377928462992, 'kappa': 4.128625130284118}",125.122606,3,7158.071925337616449
3,Tandem,1,False,CLASSIC,"[1.4879977676144132, 3.088973656283924, 3.0503299825732415, 4.684002414279529]","{'mu1a': 0.18631446047683506, 'mu1b': 1.8167075309776164, 'mu2': 3.519049193220429, 'kappa': 3.9723518704661944}",2056.83173,24,-695.90774341431392713
4,Tandem,1,False,SYMBOLIC,"[1.4879977676144132, 3.088973656283924, 3.0503299825732415, 4.684002414279529]","{'mu1a': 0.18631446047683503, 'mu1b': 1.8167075309776168, 'mu2': 3.51904919322043, 'kappa': 3.9723518704661944}",823.197598,24,-695.90774341431392713
5,Tandem,1,False,SYMBOLIC_LOG_SEMIRING,"[1.4879977676144132, 3.088973656283924, 3.0503299825732415, 4.684002414279529]","{'mu1a': 0.18631446047683498, 'mu1b': 1.8167075309776153, 'mu2': 3.5190491932204284, 'kappa': 3.972351870466195}",825.012498,24,-695.90774341431392713
6,Tandem,2,True,CLASSIC,"[1.9052296982038843, 0.6274443478599093, 1.7935639081302257, 4.181518147139868]","{'mu1a': 0.17931001107001016, 'mu1b': 1.81156358840387, 'mu2': 1.7269792780994788, 'kappa': 3.8875099208189097}",1410.928322,3,7191.7169421972648706
7,Tandem,2,True,SYMBOLIC,"[1.9052296982038843, 0.6274443478599093, 1.7935639081302257, 4.181518147139868]","{'mu1a': 0.17931001107001016, 'mu1b': 1.8115635884038706, 'mu2': 1.7269792780994788, 'kappa': 3.887509920818909}",125.107266,3,7191.7169421972648706
8,Tandem,2,True,SYMBOLIC_LOG_SEMIRING,"[1.9052296982038843, 0.6274443478599093, 1.7935639081302257, 4.181518147139868]","{'mu1a': 0.17931001107000785, 'mu1b': 1.8115635884038703, 'mu2': 1.7269792780994815, 'kappa': 3.8875099208189194}",125.252059,3,7191.7169421972612326
9,Tandem,2,False,CLASSIC,"[1.9052296982038843, 0.6274443478599093, 1.7935639081302257, 4.181518147139868]","{'mu1a': 0.14279475002476957, 'mu1b': 1.8713409572160387, 'mu2': 1.6168625196387427, 'kappa': 4.054378503743831}",1174.542415,16,-693.2642520047804737
10,Tandem,2,False,SYMBOLIC,"[1.9052296982038843, 0.6274443478599093, 1.7935639081302257, 4.181518147139868]","{'mu1a': 0.14279475002476957, 'mu1b': 1.8713409572160384, 'mu2': 1.6168625196387432, 'kappa': 4.054378503743832}",481.308462,16,-693.2642520047807011
11,Tandem,2,False,SYMBOLIC_LOG_SEMIRING,"[1.9052296982038843, 0.6274443478599093, 1.7935639081302257, 4.181518147139868]","{'mu1a': 0.14279475002476943, 'mu1b': 1.871340957216037, 'mu2': 1.616862519638743, 'kappa': 4.054378503743829}",482.375547,16,-693.2642520047805874
12,Tandem,3,True,CLASSIC,"[1.1917253576915874, 0.2270283323168278, 4.776540472256847, 4.23784506176558]","{'mu1a': 0.22369222578592365, 'mu1b': 1.6403515043997838, 'mu2': 2.1330809213095807, 'kappa': 4.0518236200040505}",1319.736481,3,7124.7887421218392774
13,Tandem,3,True,SYMBOLIC,"[1.1917253576915874, 0.2270283323168278, 4.776540472256847, 4.23784506176558]","{'mu1a': 0.22369222578592363, 'mu1b': 1.640351504399784, 'mu2': 2.1330809213095803, 'kappa': 4.0518236200040505}",118.736636,3,7124.7887421218392774
