Run,alpha,betax,zetax,Learning Rounds,Learning Time,Training Set Loglikelihood
run1,0.35550665915433505,0.09167354490544678,0.17183266132265504,3,3141.740462,-3124.7556153679147
run2,0.39264029747723456,0.10345478720308063,0.19112720777550446,3,3170.413792,-3058.1430396990727
run3,0.377212851068353,0.10426225943723536,0.19412111486245612,3,3158.620424,-3048.198503518857
run4,0.3500086409063252,0.11806058468999422,0.20433304031706695,3,3207.503658,-2993.8416452609113
run5,0.3730005671954348,0.10123696023467792,0.19898594392820534,3,3224.33203,-3044.411533557117
run6,0.3567512160770153,0.10142233875757234,0.18526589076873454,3,3245.534503,-3134.6853675612224
run7,0.3498105319893779,0.10436550164182852,0.22981334752823998,3,3236.881586,-3157.7324580560826
run8,0.36157994541233557,0.10472885918315243,0.1963473757913214,3,3246.060897,-3146.626882395132
run9,0.35346147893986357,0.08792818982414886,0.21170797165258223,3,3248.278754,-3272.0640227559416
run10,0.36881597792778975,0.10440931815341033,0.21415633081970847,3,3248.333566,-2920.797623104709
,,,,,,
,,,,,,
Run,alpha,betax,zetax,Learning Rounds,Learning Time,Training Set Loglikelihood
run1,0.355506659,0.091673545,0.171832661,3,3141.740462,-3124.755615
run2,0.392640297,0.103454787,0.191127208,3,3170.413792,-3058.14304
run3,0.377212851,0.104262259,0.194121115,3,3158.620424,-3048.198504
run4,0.350008641,0.118060585,0.20433304,3,3207.503658,-2993.841645
run5,0.373000567,0.10123696,0.198985944,3,3224.33203,-3044.411534
run6,0.356751216,0.101422339,0.185265891,3,3245.534503,-3134.685368
run7,0.349810532,0.104365502,0.229813348,3,3236.881586,-3157.732458
run8,0.361579945,0.104728859,0.196347376,3,3246.060897,-3146.626882
run9,0.353461479,0.08792819,0.211707972,3,3248.278754,-3272.064023
run10,0.368815978,0.104409318,0.214156331,3,3248.333566,-2920.797623
,,,,,,
,0.185022197,0.083264551,0.140836693,,,
,0.308800992,0.034547872,0.044363961,,,
,0.25737617,0.042622594,0.029394426,,,
,0.16669547,0.180605847,0.021665202,,,
,0.243335224,0.012369602,0.00507028,,,
,0.18917072,0.014223388,0.073670546,,,
,0.166035107,0.043655016,0.149066738,,,
,0.205266485,0.047288592,0.018263121,,,
,0.17820493,0.120718102,0.058539858,,,
,0.229386593,0.044093182,0.070781654,,,
,,,,,,
,2.129293887,0.623388746,0.611652479,30,32127.69967,-30901.25669
,0.212929389,0.062338875,0.061165248,3,3212.769967,-3090.125669
,,,,,,
,0.112144504,,,,,
