Run,ws_fail,line_fail,switch_fail,Learning Rounds,Learning Time,Training Set Loglikelihood
,0.0019349611790816608,0.00023259334903612218,0.0003184784428756431,3,18.214039,-6023.846733393645
run 2,0.0021136095337690175,0.0001818554039383678,0.00022718621544698546,3,18.144501,-5904.51420820061
run 3,0.0020640159065637856,0.00019475675828647487,0.0001989926047862708,3,18.175649,-5945.628281703932
run 4,0.0020657263502554756,0.00030263709350392836,0.0002977994986811936,3,18.095404,-5985.387815412606
run 5,0.0019654718805785657,0.00018125476663767627,0.00028882492713313196,3,18.235133,-6037.3013269785115
run 6,0.00208921551772609,0.00015392941980833593,0.000271589083381855,3,18.104882,-5858.506893001674
run 7,0.0020287134127652726,0.00022348099786476946,0.0002993749235375586,3,18.220693,-6110.795617393277
run 8,0.0018648416011424517,0.00019295136885637065,0.00019289294254603767,3,18.145436,-6103.865166688175
run 9,0.001878894046413041,0.00023070246082220288,0.0002387749400453658,3,18.221296,-6046.149853043065
run 10,0.0022245410185200948,0.0003215763699018749,0.0002579745912675259,3,18.24637,-5914.9257760472
