Run,ws_fail,line_fail,switch_fail,Learning Rounds,Learning Time,Training Set Loglikelihood
,0.002392059856143457,0.00021608837494578752,0.0002519437716793215,84,449.202805,-1006.5028268158399
run 2,0.001859490760608322,0.00033929126146486655,0.00024376424517106806,3,16.20753,-1095.8007760134608
run 3,0.001475385996305375,0.0001699809545880048,0.0002320268964092865,3,16.241583,-1076.8633374471992
run 4,0.0021441729849993,0.0001951949526576755,0.0002600978200778066,165,884.254256,-1046.7896806639117
run 5,0.0021057545531495666,0.00021063966691915146,0.0002608705514939862,3,16.240822,-1056.3557181054225
run 6,0.0021918593612265933,0.0002209697157628512,0.0003072293405512208,3,16.159106,-1052.167104352
run 7,0.0025270754338927006,0.00027360615321777963,0.0002788528720170172,4,21.625032,-1018.8259293420166
run 8,0.0026179849079198637,0.00022844727678799704,0.00035966241685227087,3,16.076312,-1051.316660005265
run 9,0.0027753438439639126,0.000220250846040049,0.0004590243709449564,7,37.700045,-1075.368866332861
run 10,0.0013612914959913118,0.00013107967662051343,0.00019062404509260494,3,16.14364,-1037.1006482083162
