Run,alpha,betax,gammax,zetax,Learning Rounds,Learning Time,Training Set Loglikelihood
run1,0.3032276840158887,0.1076540395931401,0.973692888539665,0.20028966944339566,15,14034.487037,-3107.077771128033
run2,0.303839547674897,0.09017679498818201,1.007440057088893,0.20395022210303257,17,16012.769583,-3072.940740153293
run3,0.3072499486242394,0.10145422630077677,1.0063129941419215,0.20951407991657986,10,9416.453617,-2999.9017306986875
run4,0.29498364333350025,0.09737162554251926,1.0350115121730215,0.21315992290036986,11,10358.324217,-3145.877085093023
run5,0.30742761310454697,0.09821174412760163,1.0232902651376052,0.1996614511269301,12,11503.298828,-3064.698026525616
run6,0.3109385235480596,0.10476811352609985,0.9335172696732585,0.17884986803398414,13,12575.599772,-3129.5647516718686
run7,0.2744472173464963,0.10868494927956729,1.0187362197381342,0.2143324659593651,12,11424.780885,-3045.577629328674
run8,0.2692150264056001,0.09922516027988611,0.960581150900489,0.18619733889484313,11,10500.957755,-3181.8233471659246
run9,0.2955541335067594,0.1027847494824333,0.9644458253514163,0.2126370754972605,14,13340.843065,-3126.7069724847493
run10,0.2943638021250419,0.1019135219123609,0.9961763557219954,0.1929544351823279,10,9460.835276,-3073.1134196987937
