Run,alpha,betax,gammax,zetax,Learning Rounds,Learning Time,Training Set Loglikelihood
run1,0.14944231425176635,0.05696481854060947,0.5061275463253618,0.11774122026713817,756,180882.741731,-1938.0307560710116
run2,0.25735944998063615,0.09459997880895749,0.8865719525123928,0.19348343656351596,616,147503.824217,-1971.8827631183108
run3,0.3971061920886809,0.1294650150209453,1.477168872705381,0.2991616653506609,603,144019.886645,-1980.7999681512733
run4,0.20495083772779238,0.07019767450724429,0.6195477272179575,0.14689156645514667,548,131825.774156,-1958.0536839237682
run5,0.2562364316246035,0.09008738109263292,0.9229297281027917,0.1543921328870105,668,155059.804823,-1956.3288608745324
run6,0.16262858717776243,0.06020517039051762,0.48709296918870953,0.10862430824494927,728,172583.619287,-1987.1361286817998
run7,0.1846877393731907,0.06299278098064644,0.6156062857647572,0.1585355965951969,578,138841.325594,-1929.1052491170558
run8,0.2512828930956525,0.09213728778817959,0.8978037171908713,0.19154170402856965,564,140442.806419,-1955.9173586405336
run9,0.20239405630511792,0.07100735037769354,0.6552386518590004,0.16143774808401945,438,104323.824368,-1947.4058233387939
run10,0.17608006557967548,0.06072578549137694,0.6464907466965922,0.13758857124074123,594,142074.755801,-1958.5881673413646
