Run,mu,gammax,Learning Rounds,Learning Time,Training Set Loglikelihood
,1.177189958673517,203.26761421137167,4,20.231516,12145.4909785335
run 2,1.2817085798362258,200.2033863048381,4,19.902102,11889.85325664418
run 3,1.0709307712678497,199.46287193231015,4,20.102479,12066.510695574858
run 4,0.7963255044171299,204.7086498492982,4,19.988772,12204.176688636477
run 5,1.1578601430632807,204.7478241210645,4,20.005849,12027.242517069048
run 6,0.7947483667658088,203.47523539650047,4,20.050837,12298.158439873869
run 7,1.0085342038167673,197.9869212969669,4,19.949404,12113.880470728664
run 8,0.9603666251566492,199.07088256780526,4,19.968575,12132.735325530593
run 9,0.8299746392802552,199.09743386377104,4,20.065488,12114.625338988453
run 10,1.091647832595464,201.6228457418732,4,20.139909,12169.758643474868
