Run,mu1a,mu1b,mu2,kappa,Learning Rounds,Learning Time,Training Set Loglikelihood
run1,0.16046743639731714,1.694347343136378,1.7532326190789127,3.8742951062977027,3,1631.741352,7147.560021265944
run2,0.21276474250380845,1.783481580705081,2.309503208617793,4.305938486840073,3,1095.078768,7124.92534820177
run3,0.2260109698275259,1.8333441409012776,2.4581378660156656,3.90522529649437,3,1393.421631,7206.992333876922
run4,0.22209250062946423,1.8572843040671136,1.7472503201520329,4.274713579925779,3,1392.374085,7209.341576536766
run5,0.2439887397318036,1.9588812203278905,1.9735727482540806,4.135891123789165,3,962.144389,7163.968841857259
run6,0.19704537698657412,1.8852449581958712,1.5522464682372885,4.025139665221306,3,1633.307984,7116.052588874996
run7,0.20295698836181417,1.648366883145287,2.423318629855132,4.117564524177232,3,898.040165,7107.162561912319
run8,0.16436887827363383,1.7393146338415535,1.9278464370064439,3.7201249715919027,3,895.396991,7143.127630452611
run9,0.2354576594876161,1.8330543340096153,1.7730320650922615,3.847396331471788,3,1163.710396,7206.327160161403
run10,0.19267365262061234,1.814029995742001,1.3497141258264045,3.839747528895492,3,1382.5985,7130.744916139809
