Run,mu1a,mu1b,mu2,kappa,Learning Rounds,Learning Time,Training Set Loglikelihood
,0.15285928134420057,1.8942111410201707,2.6432241470153843,3.764387370208834,3,105.966916,7249.698360354929
run 2,0.23959643975260117,1.9058654864373865,2.0651323326115785,4.133038739279778,3,90.467414,7103.836001226314
run 3,0.15267999784111194,1.8271341667122722,2.5221696901498527,3.9005665955592783,3,90.284119,7223.721347212282
run 4,0.2501963018722097,2.017596943201788,1.944510340474709,3.6518994444503345,3,106.791153,7188.034369677839
run 5,0.17391421212219785,1.6352556384502892,2.00633867478057,3.8183601369271294,3,106.747028,7117.513031272072
run 6,0.18840915487401216,1.6949688855172143,2.4602396115640013,3.74322691301186,3,112.633563,7109.302319170205
run 7,0.24581792745466138,1.5763659467442264,2.114894679914246,4.367759644256565,3,95.852029,7034.245356585051
run 8,0.19546519463548528,1.9602366662015838,1.7723880461920378,3.9987169017524207,3,118.466284,7260.195432069323
run 9,0.17998606512561852,1.8452915339488505,2.758340689418934,3.844664535608879,3,112.085762,7180.486581511763
run 10,0.22946820533328424,1.7411176105558555,1.6980220329961002,4.042685364030964,3,85.638227,7154.361302426931
