Run,mu1a,mu1b,mu2,kappa,Learning Rounds,Learning Time,Training Set Loglikelihood
run1,0.22933895776586802,1.943376111439514,2.3978002449541287,4.278572549116417,91,9554.71061,-750.1729748880022
run2,0.21066154529784378,1.8203206616348973,1.228292051346519,4.552354319267289,91,8413.831453,-713.8354310843821
run3,0.23892498339809015,1.8187513390285304,1.2401120290279768,3.6090944445515425,99,10447.406659,-735.7525474454457
run4,0.2254662166783053,2.0246143213782917,1.7942016060832624,4.465797780172562,83,8932.01961,-751.8872444539504
run5,0.19746798854858977,1.5724184953693754,2.617973424230856,4.146125333047126,95,7520.244626,-694.1571151983555
run6,0.20355810725232862,1.6510912488328218,1.1230702839976252,3.7088244939020565,100,10166.957094,-703.4536136538103
run7,0.2392122726249134,2.0931073854679934,0.7000370276984893,4.5078238607677426,115,13076.845814,-756.3894789385165
run8,0.22448699429886035,1.6889870616099365,0.8798963872990795,3.122539825241669,111,10981.591933,-711.9765531199531
run9,0.2669356841196217,1.8963938675578507,2.127835994194121,4.574225169293669,89,8323.709195,-758.142338923459
run10,0.204486708597411,2.071922753281152,1.3011576669789815,5.11452930874249,104,6645.090749,-729.8902546491346
